     No.            Date/Time

 5000010  14/07/25 7:51:17 AM
 5000010  14/07/25 7:51:18 AM
 5000012  14/07/25 7:47:01 AM
 5000015  14/07/25 7:52:29 AM
 5000019  14/07/25 7:44:31 AM
 5000023  14/07/25 7:58:43 AM
 5000071  14/07/25 7:55:41 AM
 5000071  14/07/25 7:55:42 AM
 5000097  14/07/25 7:46:37 AM
 5000097  14/07/25 7:46:39 AM
 5000097  14/07/25 7:46:40 AM
 5000122  14/07/25 7:53:21 AM
 5000182  14/07/25 7:36:57 AM
 5000182  14/07/25 7:36:58 AM
 5000192  14/07/25 7:37:03 AM
 5000192  14/07/25 7:37:05 AM
 5000200  14/07/25 7:38:48 AM
 5000215  14/07/25 7:55:48 AM
 5000250  14/07/25 7:54:35 AM
 5000250  14/07/25 7:55:42 AM
 5000268  14/07/25 7:49:40 AM
 5000282  14/07/25 7:47:19 AM
 5000283  14/07/25 7:54:28 AM
 5000303  14/07/25 7:56:17 AM
 5000303  14/07/25 7:56:18 AM
 5000327  14/07/25 7:59:06 AM
 5000327  14/07/25 7:59:07 AM
 5000327  14/07/25 7:59:08 AM
 5000333  14/07/25 7:53:36 AM
 5000338  14/07/25 8:00:01 AM
 5000354  14/07/25 7:58:29 AM
 5000374  14/07/25 7:58:09 AM
 5000374  14/07/25 7:58:10 AM
 5000412  14/07/25 7:50:08 AM
 5000412  14/07/25 7:50:09 AM
 5000434  14/07/25 7:52:01 AM
 5000435  14/07/25 7:58:00 AM
 5000442  14/07/25 7:59:21 AM
 5000445  14/07/25 7:37:59 AM
 5000445  14/07/25 7:38:01 AM
 5000449  14/07/25 7:50:22 AM
 5000449  14/07/25 7:50:23 AM
 5000465  14/07/25 7:58:54 AM
 5000465  14/07/25 7:58:56 AM
 5000474  14/07/25 7:58:21 AM
 5000508  14/07/25 7:58:14 AM
 5000508  14/07/25 7:58:16 AM
 5000508  14/07/25 7:58:17 AM
 5000515  14/07/25 7:52:31 AM
 5000530  14/07/25 7:57:25 AM
 5000530  14/07/25 7:57:27 AM
 5000530  14/07/25 7:57:28 AM
 5000572  14/07/25 7:57:12 AM
 5000573  14/07/25 7:59:51 AM
 5000593  14/07/25 7:59:04 AM
 5000600  14/07/25 7:59:14 AM
 5000622  14/07/25 7:46:18 AM
 5000622  14/07/25 7:46:20 AM
 5000631  14/07/25 7:58:44 AM
 5000645  14/07/25 7:46:11 AM
 5000662  14/07/25 7:58:45 AM
 5000662  14/07/25 7:58:47 AM
 5000664  14/07/25 7:52:11 AM
 5000674  14/07/25 7:24:04 AM
 5000685  14/07/25 7:57:29 AM
 5000693  14/07/25 7:54:31 AM
 5000693  14/07/25 7:54:33 AM
 5000704  14/07/25 7:58:17 AM
 5000706  14/07/25 7:55:22 AM
 5000738  14/07/25 7:56:45 AM
 5000744  14/07/25 7:59:41 AM
 5000745  14/07/25 7:56:29 AM
 5000758  14/07/25 7:58:48 AM
 5000759  14/07/25 7:53:43 AM
 5000765  14/07/25 7:58:57 AM
 5000808  14/07/25 7:54:36 AM
 5000808  14/07/25 7:54:38 AM
 5000843  14/07/25 7:52:17 AM
 5000866  14/07/25 7:58:04 AM
 5000876  14/07/25 7:59:29 AM
 5000887  14/07/25 8:01:22 AM
 5000897  14/07/25 7:59:00 AM
 5000909  14/07/25 8:00:38 AM
 5000910  14/07/25 7:58:57 AM
 5000912  14/07/25 7:57:00 AM
 5000912  14/07/25 7:57:02 AM
 5000912  14/07/25 7:57:03 AM
 5000931  14/07/25 7:50:19 AM
 5000931  14/07/25 7:50:20 AM
 5000931  14/07/25 7:50:22 AM
 5000931  14/07/25 7:50:23 AM
 5000932  14/07/25 7:48:50 AM
 5000932  14/07/25 7:48:52 AM
 5000936  14/07/25 7:49:28 AM
 5000936  14/07/25 7:49:30 AM
 5000948  14/07/25 7:55:12 AM
 5000953  14/07/25 7:44:53 AM
 5000953  14/07/25 7:44:55 AM
 5000958  14/07/25 7:53:23 AM
 5000964  14/07/25 7:52:04 AM
 5000966  14/07/25 7:50:35 AM
 5000969  14/07/25 7:55:10 AM
 5000980  14/07/25 7:53:23 AM
 5000980  14/07/25 7:53:24 AM
 5000982  14/07/25 7:54:42 AM
 5000982  14/07/25 7:54:43 AM
 5000998  14/07/25 7:57:11 AM
 5001024  14/07/25 7:51:24 AM
 5001032  14/07/25 8:21:21 AM
 5001073  14/07/25 8:01:28 AM
 5001073  14/07/25 8:01:30 AM
 5001085  14/07/25 7:58:40 AM
 5001096  14/07/25 7:55:14 AM
 5001096  14/07/25 7:55:15 AM
 5001096  14/07/25 7:55:17 AM
 5001118  14/07/25 7:56:05 AM
 5001155  14/07/25 7:56:46 AM
 5001162  14/07/25 7:59:26 AM
 5001165  14/07/25 7:59:26 AM
 5001183  14/07/25 7:54:07 AM
 5001183  14/07/25 7:54:08 AM
 5001205  14/07/25 7:51:44 AM
 5001206  14/07/25 7:34:33 AM
 5001206  14/07/25 7:34:35 AM
 5001221  14/07/25 7:55:58 AM
 5001223  14/07/25 7:57:20 AM
 5001236  14/07/25 7:52:46 AM
 5001283  14/07/25 7:48:17 AM
 5001289  14/07/25 7:46:18 AM
 5001289  14/07/25 7:46:19 AM
 5001297  14/07/25 7:47:58 AM
 5001297  14/07/25 7:47:59 AM
 5001307  14/07/25 7:55:32 AM
 5001307  14/07/25 7:55:33 AM
 5001319  14/07/25 7:46:31 AM
 5001319  14/07/25 7:46:32 AM
 5001319  14/07/25 7:46:33 AM
 5001319  14/07/25 7:46:35 AM
 5001319  14/07/25 7:46:36 AM
 5001325  14/07/25 7:53:38 AM
 5001329 14/07/25 12:01:12 AM
 5001329  14/07/25 7:59:10 AM
 5001329  14/07/25 7:59:11 AM
 5001330  14/07/25 7:54:23 AM
 5001344  14/07/25 7:37:28 AM
 5001348  14/07/25 7:37:45 AM
 5001373  14/07/25 7:57:34 AM
 5001393  14/07/25 7:59:21 AM
 5001393  14/07/25 7:59:22 AM
 5001393  14/07/25 7:59:23 AM
 5001421  14/07/25 7:57:56 AM
 5001426  14/07/25 7:53:15 AM
 5001426  14/07/25 7:53:16 AM
 5001426  14/07/25 7:53:17 AM
 5001428  14/07/25 7:56:37 AM
 5001452  14/07/25 7:46:05 AM
 5001514  14/07/25 7:47:59 AM
 5001514  14/07/25 7:48:22 AM
 5001524  14/07/25 8:02:03 AM
 5001524  14/07/25 8:02:16 AM
 5001526  14/07/25 7:54:10 AM
 5001529  14/07/25 7:56:20 AM
 5001541  14/07/25 7:35:53 AM
 5001541  14/07/25 7:35:54 AM
 5001541  14/07/25 7:35:56 AM
 5001541  14/07/25 7:35:57 AM
 5001543  14/07/25 7:59:53 AM
 5001580  14/07/25 7:58:49 AM
 5001583  14/07/25 7:52:54 AM
 5001583  14/07/25 7:53:11 AM
 5001588  14/07/25 7:36:11 AM
 5001588  14/07/25 7:36:13 AM
 5001611  14/07/25 7:48:44 AM
 5001611  14/07/25 7:48:57 AM
 5001612  14/07/25 7:47:21 AM
 5001612  14/07/25 7:47:22 AM
 5001612  14/07/25 7:47:52 AM
 5001612  14/07/25 7:48:18 AM
 5001615  14/07/25 7:53:17 AM
 5001630  14/07/25 7:57:05 AM
 5001639  14/07/25 7:52:05 AM
 5001648  14/07/25 8:00:09 AM
 5001650  14/07/25 7:52:42 AM
 5001650  14/07/25 7:52:43 AM
