SL,ID,Department,Section,Line,Designation
1,1000001,Production,Production (Staff),Sewing Staff,A P M
2,1000002,Production,Production (Worker),Finishing,Jr.Packer
3,1000003,Production,Production (Staff),Cutting Staff,Marker Man
4,1000004,Production,Production (Staff),Cutting Staff,"Asst.Manager, Cutting"
5,1000005,Production,Production (Staff),Finishing  Staff,Fin. Supervisor
6,1000006,Production,Production (Staff),Cutting Staff,"Asst. Incharge, Cutting"
7,1000007,Production,Production (Staff),Cutting Staff,Sr.Cut. Supervisor
8,1000008,Production,Production (Worker),Line-B,Sr.Sw.Mc.Operator
9,1000009,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
10,1000010,Production,Production (Worker),Line-B,Jr.Sw.Mc.Operator
11,1000011,Human Resource,Human Resource,General,Care taker (Child Care)
12,1000012,Production,Production (Worker),Line-C,Jr.Sw.Mc.Operator
13,1000013,Production,Production (Staff),Sewing Staff,Production Manager
14,1000014,Production,Production (Staff),Finishing  Staff,Fin. Supervisor
15,1000015,Production,Production (Staff),Store Staff,Sr.Executive (Store)
16,1000016,Production,Production (Worker),Line-E,Jr.Sw.Mc.Operator
17,1000017,Production,Production (Worker),Line-B,Sr.Sw.Mc.Operator
18,1000018,Production,Production (Staff),Store Staff,Store Executive
19,1000019,Production,Production (Staff),Sewing Staff,A P M
20,1000020,Production,Production (Worker),Line-B,Sr.Sw.Mc.Operator
21,1000021,Production,Production (Staff),Quality  Staff,A.Q.C
22,1000022,Production,Production (Worker),Finishing,Hang-tag Man
23,1000023,Production,Production (Worker),Finishing,Finishing Quality Ins.
24,1000024,Production,Production (Staff),Quality  Staff,A.Q.C
25,1000025,Human Resource,Human Resource,Admin,Medical Assistant
26,1000026,Human Resource,Human Resource,Admin,Manager (Maintenance)
27,1000027,Production,Production (Staff),Cutting Staff,Marker Man
28,1000028,Production,Production (Staff),Sewing Staff,Production Executive
29,1000029,Production,Production (Staff),Finishing  Staff,Finishing In-charge
30,1000030,Production,Production (Staff),Mechanic Staff,Maint. Assistant Incharge
31,1000031,Production,Production (Staff),Mechanic Staff,Maint. Assistant
32,1000032,Production,Production (Worker),Line-D,Sr.Operator
33,1000033,Production,Production (Worker),Line-D,Sewing Mc.Operator
34,1000034,Human Resource,Human Resource,General,Checker
